user_id,session_id,timestamp,content_id,duration_minutes
user_1,1,2025-06-10 23:57:02,movie_9,12
user_1,1,2025-06-11 00:10:02,movie_14,28
user_1,1,2025-06-11 00:40:02,movie_8,23
user_1,1,2025-06-11 01:04:02,movie_8,69
user_1,1,2025-06-11 02:17:02,movie_19,13
user_1,1,2025-06-11 02:33:02,movie_4,47
user_1,1,2025-06-11 03:22:02,movie_13,71
user_1,1,2025-06-11 04:34:02,movie_15,87
user_1,2,2025-06-26 23:57:02,movie_20,40
user_1,3,2025-06-15 23:57:02,movie_13,64
user_1,3,2025-06-16 01:05:02,movie_14,41
user_1,3,2025-06-16 01:48:02,movie_20,26
user_1,3,2025-06-16 02:17:02,movie_5,13
user_1,3,2025-06-16 02:32:02,movie_18,22
user_1,3,2025-06-16 02:58:02,movie_9,18
user_1,4,2025-06-27 23:57:02,movie_14,86
user_1,4,2025-06-28 01:25:02,movie_9,20
user_1,4,2025-06-28 01:50:02,movie_12,71
user_1,4,2025-06-28 03:05:02,movie_11,85
user_1,4,2025-06-28 04:31:02,movie_14,37
user_1,4,2025-06-28 05:12:02,movie_5,36
user_1,5,2025-06-10 23:57:02,movie_11,17
user_1,5,2025-06-11 00:18:02,movie_10,37
user_1,5,2025-06-11 00:58:02,movie_12,66
user_1,5,2025-06-11 02:06:02,movie_2,40
user_1,5,2025-06-11 02:50:02,movie_18,76
user_2,1,2025-07-04 23:57:02,movie_18,52
user_2,1,2025-07-05 00:54:02,movie_7,34
user_2,1,2025-07-05 01:30:02,movie_1,51
user_2,1,2025-07-05 02:23:02,movie_12,61
user_2,2,2025-06-26 23:57:02,movie_7,79
user_2,2,2025-06-27 01:18:02,movie_11,83
user_2,2,2025-06-27 02:42:02,movie_8,62
user_2,2,2025-06-27 03:48:02,movie_1,76
user_2,2,2025-06-27 05:09:02,movie_4,37
user_2,2,2025-06-27 05:50:02,movie_4,33
user_2,2,2025-06-27 06:27:02,movie_14,57
user_2,3,2025-06-04 23:57:02,movie_6,62
user_2,4,2025-06-13 23:57:02,movie_15,67
user_2,4,2025-06-14 01:05:02,movie_19,18
user_2,4,2025-06-14 01:25:02,movie_16,28
user_2,4,2025-06-14 01:58:02,movie_17,61
user_2,4,2025-06-14 03:03:02,movie_8,58
user_2,4,2025-06-14 04:06:02,movie_2,51
user_2,4,2025-06-14 05:01:02,movie_1,67
user_2,5,2025-07-03 23:57:02,movie_5,17
user_2,5,2025-07-04 00:18:02,movie_20,75
user_3,1,2025-07-03 23:57:02,movie_13,47
user_3,1,2025-07-04 00:48:02,movie_20,30
user_3,1,2025-07-04 01:23:02,movie_13,80
user_3,1,2025-07-04 02:44:02,movie_7,81
user_3,2,2025-06-14 23:57:02,movie_15,20
user_3,2,2025-06-15 00:20:02,movie_19,87
user_3,2,2025-06-15 01:48:02,movie_13,45
user_3,2,2025-06-15 02:35:02,movie_3,40
user_3,2,2025-06-15 03:18:02,movie_13,20
user_3,2,2025-06-15 03:39:02,movie_9,54
user_3,2,2025-06-15 04:37:02,movie_6,14
user_3,3,2025-06-30 23:57:02,movie_4,67
user_3,3,2025-07-01 01:09:02,movie_10,68
user_3,3,2025-07-01 02:21:02,movie_8,41
user_3,3,2025-07-01 03:07:02,movie_20,41
